#0:
>0:542766.14,4564270.86;542228.79,4556726.85;
#1:
>0:546947.71,4552972.24;538820.59,4566719.64;
#2:
>0:518003.84,4536027.19;544207.84,4600444.67;
#3:
>0:529353.23,4602143.98;543563.6,4593391.04;
#4:
>0:546116.61,4581486.68;537730.13,4575835.85;
#5:
>0:540405.68,4561912.22;534128.65,4573805.9;
#6:
>0:535738.42,4559432.25;540002.87,4575531.77;
#7:
>0:536484.47,4580666.54;535897.37,4579590.45;
#8:
>0:520962.76,4575440.76;540478.33,4575754.45;
#9:
>0:543652.98,4594504.83;539204.03,4585652.01;
#10:
>0:530807.64,4556778.27;551004.59,4601844.13;
#11:
>0:538417.23,4602725.8;524522.1,4572819.85;516147.4,4570955.93;
#12:
>0:541187.32,4579001.38;549392.96,4571684.79;
#13:
>0:527641.11,4564060.98;536379.48,4605667.76;
#14:
>0:529299.6,4553039.69;537541.33,4570373.56;
#15:
>0:547375.96,4557911.13;537982.77,4577461.57;
#16:
>0:545850.49,4559264.06;532393.18,4561834.97;
#17:
>0:540183.39,4568825.11;512129.49,4545488.3;
#18:
>0:541843.94,4575331.16;548017.17,4593143.46;
#19:
>0:538899.1,4566149.31;518870.56,4520363.5;
#20:
>0:537032.22,4593492.29;532860.18,4559057.37;
#21:
>0:534955.72,4573771.51;536479.09,4576693.35;
#22:
>0:534778.33,4584948.12;538646.8,4603891.62;
#23:
>0:529571.16,4619502.22;547333.42,4572071.29;
#24:
>0:537487.55,4602549.49;550806.39,4596756.98;
#25:
>0:534349.53,4603458.23;547743.98,4597906.99;
#26:
>0:534496.12,4590041.03;527735.5,4555584.78;542435.66,4602477.85;
#27:
>0:551910.97,4599217.68;544555.13,4568792.91;
#28:
>0:546438.55,4334266.08;551778.0,4366070.95;586056.75,4344849.81;603890.67,4390208.3;
#29:
>0:545904.48,4560327.09;528650.21,4582312.26;
#30:
>0:516871.89,4449980.47;537715.51,4412025.97;552637.44,4403156.34;
#31:
>0:529169.06,4597049.74;546408.03,4564925.0;
#32:
>0:539029.16,4599460.03;543568.7,4581084.3;
#33:
>0:537739.14,4553511.07;521347.36,4553377.78;513072.82,4556661.31;
#34:
>0:543851.5,4564054.35;534886.85,4580198.59;
#35:
>0:547486.0,4585491.68;513945.24,4562926.72;524755.32,4488204.33;
#36:
>0:540732.76,4605889.16;531121.12,4560007.2;
#37:
>0:544384.26,4583561.63;541820.5,4607752.64;
#38:
>0:530445.55,4577576.36;547050.33,4559988.08;
#39:
>0:535681.21,4582533.24;548784.02,4587112.02;
#40:
>0:546708.16,4557694.4;545955.02,4564049.11;
#41:
>0:549594.91,4609423.65;543166.98,4569426.17;
#42:
>0:534053.24,4580203.21;512042.47,4529065.39;
#43:
>0:537434.1,4608845.68;535130.67,4579900.06;
#44:
>0:529409.3,4560305.89;526032.11,4569275.82;
#45:
>0:540748.05,4578087.61;540690.46,4569606.5;
#46:
>0:548013.26,4571717.01;542940.76,4556795.47;
#47:
