,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,-9.0,-82.0,-93.0,-44.0,-61.0,-42.0,-60.0,-44.0,-73.0,-54.0,-123.0,-40.0,-83.0,-40.0,-84.0,-117.0,-72.0,-84.0,-66.0,-56.0,-90.0,-11.0,-93.0,-38.0,-40.0,-94.0,-46.0,-25.0,-18.0,-3.0,-47.0,-79.0,-57.0,-37.0,-57.0,-75.0,-28.0,-88.0,-125.0,-110.0,-36.0,-57.0,-49.0,-95.0,-50.0,-48.0,-117.0,-67.0,-84.0,-64.0,-64.0,-39.0,-35.0,-125.0,-16.0,-125.0,-86.0,-41.0,-38.0,-16.0,-57.0,-103.0,-63.0,-41.0,-71.0,-84.0,-16.0,-22.0,-34.0,-25.0,-125.0,-72.0,-22.0,-99.0,-63.0,-125.0,-85.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-117.0,-16.0,-99.0,-83.0,-51.0,-106.0,-60.0,-83.0,-43.0,-125.0,-70.0,-96.0,-34.0,-23.0,-66.0,-40.0
1,-9.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
2,-82.0,-9.0,0.0,-82.0,-44.0,-61.0,-42.0,-60.0,-44.0,-73.0,-54.0,-82.0,-40.0,-82.0,-40.0,-82.0,-82.0,-72.0,-82.0,-66.0,-56.0,-82.0,-11.0,-82.0,-38.0,-40.0,-82.0,-46.0,-25.0,-18.0,-3.0,-47.0,-79.0,-57.0,-37.0,-57.0,-75.0,-28.0,-82.0,-82.0,-82.0,-36.0,-57.0,-49.0,-82.0,-50.0,-48.0,-82.0,-67.0,-82.0,-64.0,-64.0,-39.0,-35.0,-82.0,-16.0,-82.0,-82.0,-41.0,-38.0,-16.0,-57.0,-82.0,-63.0,-41.0,-71.0,-82.0,-16.0,-22.0,-34.0,-25.0,-82.0,-72.0,-22.0,-82.0,-63.0,-82.0,-82.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-82.0,-16.0,-82.0,-82.0,-51.0,-82.0,-60.0,-82.0,-43.0,-82.0,-70.0,-82.0,-34.0,-23.0,-66.0,-40.0
3,-93.0,-9.0,-82.0,0.0,-44.0,-61.0,-42.0,-60.0,-44.0,-73.0,-54.0,-93.0,-40.0,-83.0,-40.0,-84.0,-93.0,-72.0,-84.0,-66.0,-56.0,-90.0,-11.0,-93.0,-38.0,-40.0,-93.0,-46.0,-25.0,-18.0,-3.0,-47.0,-79.0,-57.0,-37.0,-57.0,-75.0,-28.0,-88.0,-93.0,-93.0,-36.0,-57.0,-49.0,-93.0,-50.0,-48.0,-93.0,-67.0,-84.0,-64.0,-64.0,-39.0,-35.0,-93.0,-16.0,-93.0,-86.0,-41.0,-38.0,-16.0,-57.0,-93.0,-63.0,-41.0,-71.0,-84.0,-16.0,-22.0,-34.0,-25.0,-93.0,-72.0,-22.0,-93.0,-63.0,-93.0,-85.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-93.0,-16.0,-93.0,-83.0,-51.0,-93.0,-60.0,-83.0,-43.0,-93.0,-70.0,-93.0,-34.0,-23.0,-66.0,-40.0
4,-44.0,-9.0,-44.0,-44.0,0.0,-44.0,-42.0,-44.0,-44.0,-44.0,-44.0,-44.0,-40.0,-44.0,-40.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-11.0,-44.0,-38.0,-40.0,-44.0,-44.0,-25.0,-18.0,-3.0,-44.0,-44.0,-44.0,-37.0,-44.0,-44.0,-28.0,-44.0,-44.0,-44.0,-36.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-39.0,-35.0,-44.0,-16.0,-44.0,-44.0,-41.0,-38.0,-16.0,-44.0,-44.0,-44.0,-41.0,-44.0,-44.0,-16.0,-22.0,-34.0,-25.0,-44.0,-44.0,-22.0,-44.0,-44.0,-44.0,-44.0,-44.0,-40.0,-44.0,-34.0,-44.0,-33.0,-44.0,-16.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-43.0,-44.0,-44.0,-44.0,-34.0,-23.0,-44.0,-40.0
5,-61.0,-9.0,-61.0,-61.0,-44.0,0.0,-42.0,-60.0,-44.0,-61.0,-54.0,-61.0,-40.0,-61.0,-40.0,-61.0,-61.0,-61.0,-61.0,-61.0,-56.0,-61.0,-11.0,-61.0,-38.0,-40.0,-61.0,-46.0,-25.0,-18.0,-3.0,-47.0,-61.0,-57.0,-37.0,-57.0,-61.0,-28.0,-61.0,-61.0,-61.0,-36.0,-57.0,-49.0,-61.0,-50.0,-48.0,-61.0,-61.0,-61.0,-61.0,-61.0,-39.0,-35.0,-61.0,-16.0,-61.0,-61.0,-41.0,-38.0,-16.0,-57.0,-61.0,-61.0,-41.0,-61.0,-61.0,-16.0,-22.0,-34.0,-25.0,-61.0,-61.0,-22.0,-61.0,-61.0,-61.0,-61.0,-61.0,-40.0,-48.0,-34.0,-61.0,-33.0,-61.0,-16.0,-61.0,-61.0,-51.0,-61.0,-60.0,-61.0,-43.0,-61.0,-61.0,-61.0,-34.0,-23.0,-61.0,-40.0
6,-42.0,-9.0,-42.0,-42.0,-42.0,-42.0,0.0,-42.0,-42.0,-42.0,-42.0,-42.0,-40.0,-42.0,-40.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-11.0,-42.0,-38.0,-40.0,-42.0,-42.0,-25.0,-18.0,-3.0,-42.0,-42.0,-42.0,-37.0,-42.0,-42.0,-28.0,-42.0,-42.0,-42.0,-36.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-39.0,-35.0,-42.0,-16.0,-42.0,-42.0,-41.0,-38.0,-16.0,-42.0,-42.0,-42.0,-41.0,-42.0,-42.0,-16.0,-22.0,-34.0,-25.0,-42.0,-42.0,-22.0,-42.0,-42.0,-42.0,-42.0,-42.0,-40.0,-42.0,-34.0,-42.0,-33.0,-42.0,-16.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-34.0,-23.0,-42.0,-40.0
7,-60.0,-9.0,-60.0,-60.0,-44.0,-60.0,-42.0,0.0,-44.0,-60.0,-54.0,-60.0,-40.0,-60.0,-40.0,-60.0,-60.0,-60.0,-60.0,-60.0,-56.0,-60.0,-11.0,-60.0,-38.0,-40.0,-60.0,-46.0,-25.0,-18.0,-3.0,-47.0,-60.0,-57.0,-37.0,-57.0,-60.0,-28.0,-60.0,-60.0,-60.0,-36.0,-57.0,-49.0,-60.0,-50.0,-48.0,-60.0,-60.0,-60.0,-60.0,-60.0,-39.0,-35.0,-60.0,-16.0,-60.0,-60.0,-41.0,-38.0,-16.0,-57.0,-60.0,-60.0,-41.0,-60.0,-60.0,-16.0,-22.0,-34.0,-25.0,-60.0,-60.0,-22.0,-60.0,-60.0,-60.0,-60.0,-60.0,-40.0,-48.0,-34.0,-60.0,-33.0,-60.0,-16.0,-60.0,-60.0,-51.0,-60.0,-60.0,-60.0,-43.0,-60.0,-60.0,-60.0,-34.0,-23.0,-60.0,-40.0
8,-44.0,-9.0,-44.0,-44.0,-44.0,-44.0,-42.0,-44.0,0.0,-44.0,-44.0,-44.0,-40.0,-44.0,-40.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-11.0,-44.0,-38.0,-40.0,-44.0,-44.0,-25.0,-18.0,-3.0,-44.0,-44.0,-44.0,-37.0,-44.0,-44.0,-28.0,-44.0,-44.0,-44.0,-36.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-39.0,-35.0,-44.0,-16.0,-44.0,-44.0,-41.0,-38.0,-16.0,-44.0,-44.0,-44.0,-41.0,-44.0,-44.0,-16.0,-22.0,-34.0,-25.0,-44.0,-44.0,-22.0,-44.0,-44.0,-44.0,-44.0,-44.0,-40.0,-44.0,-34.0,-44.0,-33.0,-44.0,-16.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-43.0,-44.0,-44.0,-44.0,-34.0,-23.0,-44.0,-40.0
9,-73.0,-9.0,-73.0,-73.0,-44.0,-61.0,-42.0,-60.0,-44.0,0.0,-54.0,-73.0,-40.0,-73.0,-40.0,-73.0,-73.0,-72.0,-73.0,-66.0,-56.0,-73.0,-11.0,-73.0,-38.0,-40.0,-73.0,-46.0,-25.0,-18.0,-3.0,-47.0,-73.0,-57.0,-37.0,-57.0,-73.0,-28.0,-73.0,-73.0,-73.0,-36.0,-57.0,-49.0,-73.0,-50.0,-48.0,-73.0,-67.0,-73.0,-64.0,-64.0,-39.0,-35.0,-73.0,-16.0,-73.0,-73.0,-41.0,-38.0,-16.0,-57.0,-73.0,-63.0,-41.0,-71.0,-73.0,-16.0,-22.0,-34.0,-25.0,-73.0,-72.0,-22.0,-73.0,-63.0,-73.0,-73.0,-61.0,-40.0,-48.0,-34.0,-66.0,-33.0,-73.0,-16.0,-73.0,-73.0,-51.0,-73.0,-60.0,-73.0,-43.0,-73.0,-70.0,-73.0,-34.0,-23.0,-66.0,-40.0
